FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
RADIUS,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
RANDOM,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
RANDOM_NORMAL,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
RANGE_AGG,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
RANGE_INTERSECT_AGG,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
RANGE_MERGE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
RANK,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_COUNT,OK,OK,N,N,N,N,N,N,N,N,N,S,S,S
REGEXP_INSTR,OK,OK,N,N,N,N,N,N,N,N,N,S,S,S
REGEXP_LIKE,OK,OK,N,N,N,N,N,N,N,N,N,S,S,S
REGEXP_MATCH,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
REGEXP_MATCHES,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_REPLACE,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_SPLIT_TO_ARRAY,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_SPLIT_TO_TABLE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_SUBSTR,OK,OK,N,N,N,N,N,N,N,N,N,S,S,S
REGR_AVGX,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_AVGY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_COUNT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_INTERCEPT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_R2,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SLOPE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SXX,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SXY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SYY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REPEAT,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
REPLACE,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
REVERSE,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
RIGHT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
ROUND,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
ROW_NUMBER,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
ROW_SECURITY_ACTIVE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ROW_TO_JSON,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
RPAD,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
RTRIM,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
SCALE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SCHEMA_TO_XML,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SCHEMA_TO_XML_AND_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SCHEMA_TO_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SESSION_USER,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
SET_BIT,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SET_BYTE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SET_CONFIG,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SET_MASKLEN,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SETSEED,NOK,NOK,N,N,S,N,N,N,S,S,S,S,S,S
SETVAL,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
SETWEIGHT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA224,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA256,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA384,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA512,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHOBJ_DESCRIPTION,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
SIGN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
SIMILAR TO,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SIN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
SIND,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SINH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SLOPE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SOME,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
SPLIT_PART,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
SPRINTF,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
SQRT,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
STARTS_WITH,OK,OK,N,N,N,N,N,S,S,S,S,S,S,S
STATEMENT_TIMESTAMP,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
STDDEV,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
STDDEV_POP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
STDDEV_SAMP,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
STRING,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
STRING_AGG,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
STRING_TO_ARRAY,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
STRING_TO_TABLE,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
STRIP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
STRPOS,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SUBSTR,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
SUBSTRING,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
SUM,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
SUPPRESS_REDUNDANT_UPDATES_TRIGGER,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
SWITCH,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
SYSTEM_USER,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
TABLE_TO_XML,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TABLE_TO_XML_AND_XMLSCHEMA,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TABLE_TO_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TAN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
TAND,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TANH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TEXT,OK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
TIMEOFDAY,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TIMEZONE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
TO_ASCII,OK,OK,S,S,S,N,N,N,N,S,S,S,S,S
TO_BIN,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
TO_CHAR,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
TO_DATE,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
TO_HEX,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
TO_JSON,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
TO_JSONB,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
TO_NUMBER,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
TO_OCT,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
TO_REGCLASS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGCOLLATION,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TO_REGNAMESPACE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGOPER,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGOPERATOR,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGPROC,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGPROCEDURE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGROLE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGTYPE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGTYPEMOD,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
TO_TIMESTAMP,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TO_TSQUERY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TO_TSVECTOR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TRANSACTION_TIMESTAMP,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
TRANSLATE,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
TRIM,OK,OK,N,N,S,N,S,S,S,S,S,S,S,S
TRIM_ARRAY,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
TRIM_SCALE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TRUNC,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TS_DEBUG,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_DELETE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_FILTER,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_HEADLINE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_LEXIZE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_PARSE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_RANK,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_RANK_CD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_REWRITE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_STAT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_TOKEN_TYPE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TSQUERY_PHRASE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TSVECTOR_TO_ARRAY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TSVECTOR_UPDATE_TRIGGER,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TSVECTOR_UPDATE_TRIGGER_COLUMN,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TXID_CURRENT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TXID_CURRENT_IF_ASSIGNED,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TXID_CURRENT_SNAPSHOT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TXID_SNAPSHOT_XIP,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TXID_SNAPSHOT_XMAX,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TXID_SNAPSHOT_XMIN,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TXID_STATUS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TXID_VISIBLE_IN_SNAPSHOT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
UNICODE_ASSIGNED,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
UNICODE_VERSION,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
UNISTR,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
UNNEST,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
UPPER,OK,OK,N,N,S,N,S,S,S,S,S,S,S,S
UPPER_INC,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
UPPER_INF,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
USER,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
UUID_EXTRACT_TIMESTAMP,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
UUID_EXTRACT_VERSION,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
VAR_POP,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
VAR_SAMP,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
VARIANCE,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
VERSION,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
WEBSEARCH_TO_TSQUERY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
WIDTH,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
WIDTH_BUCKET,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
XML_IS_WELL_FORMED,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XML_IS_WELL_FORMED_CONTENT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XML_IS_WELL_FORMED_DOCUMENT,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XMLAGG,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLCOMMENT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLCONCAT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLELEMENT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLEXISTS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XMLFOREST,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLPARSE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLPI,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLROOT,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLSERIALIZE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLTABLE,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XMLTEXT,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
XPATH,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XPATH_EXISTS,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
