FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
PG_CURRENT_XACT_ID_IF_ASSIGNED,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CURRENT_XLOG_INSERT_LOCATION,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_CURRENT_XLOG_LOCATION,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_DATABASE_COLLATION_ACTUAL_VERSION,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_DATABASE_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_DESCRIBE_OBJECT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_DROP_REPLICATION_SLOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_ENCODING_TO_CHAR,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_EVENT_TRIGGER_DDL_COMMANDS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EVENT_TRIGGER_DROPPED_OBJECTS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EVENT_TRIGGER_TABLE_REWRITE_OID,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EVENT_TRIGGER_TABLE_REWRITE_REASON,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_EXPORT_SNAPSHOT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_FILENODE_RELATION,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_FUNCTION_IS_VISIBLE,NOK,N,N,S,N,N,S,S,S,S,S,S,S
PG_GET_CATALOG_FOREIGN_KEYS,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_GET_CONSTRAINTDEF,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_EXPR,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTION_ARGUMENTS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTION_IDENTITY_ARGUMENTS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTION_RESULT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_FUNCTIONDEF,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_INDEXDEF,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_KEYWORDS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_MULTIXACT_MEMBERS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_GET_OBJECT_ADDRESS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_GET_OWNED_SEQUENCE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_GET_PARTITION_CONSTRAINTDEF,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_GET_PARTKEYDEF,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_GET_RULEDEF,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_SERIAL_SEQUENCE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_STATISTICSOBJDEF,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_GET_TRIGGERDEF,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_USERBYID,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_VIEWDEF,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_GET_WAL_REPLAY_PAUSE_STATE,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_GET_WAL_RESOURCE_MANAGERS,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_GET_WAL_SUMMARIZER_STATE,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_HAS_ROLE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_IDENTIFY_OBJECT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_IDENTIFY_OBJECT_AS_ADDRESS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_IMPORT_SYSTEM_COLLATIONS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEX_COLUMN_HAS_PROPERTY,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEX_HAS_PROPERTY,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEXAM_HAS_PROPERTY,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_INDEXES_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_INPUT_ERROR_INFO,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_INPUT_IS_VALID,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_IS_IN_BACKUP,NOK,N,N,N,N,S,S,S,S,S,N,N,N
PG_IS_IN_RECOVERY,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_IS_OTHER_TEMP_SCHEMA,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_IS_WAL_REPLAY_PAUSED,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_JIT_AVAILABLE,NOK,N,N,N,N,N,S,S,S,S,S,S,S
PG_LAST_COMMITTED_XACT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_WAL_RECEIVE_LSN,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_WAL_REPLAY_LSN,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_XACT_REPLAY_TIMESTAMP,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LAST_XLOG_RECEIVE_LOCATION,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_LAST_XLOG_REPLAY_LOCATION,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_LISTENING_CHANNELS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_LOG_BACKEND_MEMORY_CONTEXTS,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_LOG_STANDBY_SNAPSHOT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_LOGICAL_EMIT_MESSAGE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LOGICAL_SLOT_GET_BINARY_CHANGES,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LOGICAL_SLOT_GET_CHANGES,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LOGICAL_SLOT_PEEK_BINARY_CHANGES,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LOGICAL_SLOT_PEEK_CHANGES,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_LS_ARCHIVE_STATUSDIR,NOK,N,N,N,N,N,N,S,S,S,S,S,S
PG_LS_DIR,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_LS_LOGDIR,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_LS_LOGICALMAPDIR,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_LS_LOGICALSNAPDIR,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_LS_REPLSLOTDIR,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_LS_TMPDIR,NOK,N,N,N,N,N,N,S,S,S,S,S,S
PG_LS_WALDIR,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_MCV_LIST_ITEMS,NOK,N,N,N,N,N,N,S,S,S,S,S,S
PG_MY_TEMP_SCHEMA,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_NOTIFICATION_QUEUE_USAGE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_OPCLASS_IS_VISIBLE,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PG_OPERATOR_IS_VISIBLE,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PG_OPFAMILY_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_OPTIONS_TO_TABLE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_PARTITION_ANCESTORS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_PARTITION_ROOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_PARTITION_TREE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_POSTMASTER_START_TIME,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_PROMOTE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_READ_BINARY_FILE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_READ_FILE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELATION_FILENODE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELATION_FILEPATH,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELATION_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_RELOAD_CONF,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_ADVANCE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_CREATE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_DROP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_OID,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_PROGRESS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_IS_SETUP,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_PROGRESS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_RESET,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_SESSION_SETUP,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_XACT_RESET,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_ORIGIN_XACT_SETUP,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_REPLICATION_SLOT_ADVANCE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_ROTATE_LOGFILE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_SAFE_SNAPSHOT_BLOCKING_PIDS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SETTINGS_GET_FLAGS,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_SIZE_BYTES,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SIZE_PRETTY,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_SLEEP,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_SLEEP_FOR,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SLEEP_UNTIL,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SNAPSHOT_XIP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_SNAPSHOT_XMAX,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_SNAPSHOT_XMIN,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_SPLIT_WALFILE_NAME,NOK,N,N,N,N,N,N,N,N,N,N,S,S
PG_START_BACKUP,NOK,N,N,S,S,S,S,S,S,S,N,N,N
PG_STAT_FILE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_STATISTICS_OBJ_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_STOP_BACKUP,NOK,N,N,S,S,S,S,S,S,S,N,N,N
PG_SWITCH_WAL,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_SWITCH_XLOG,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_SYNC_REPLICATION_SLOTS,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_TABLE_IS_VISIBLE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_TABLE_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TABLESPACE_DATABASES,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_TABLESPACE_LOCATION,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TABLESPACE_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TERMINATE_BACKEND,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TOTAL_RELATION_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TRIGGER_DEPTH,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_LOCK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_LOCK_SHARED,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_XACT_LOCK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_TRY_ADVISORY_XACT_LOCK_SHARED,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_TS_CONFIG_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TS_DICT_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TS_PARSER_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TS_TEMPLATE_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_TYPE_IS_VISIBLE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_TYPEOF,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_VISIBLE_IN_SNAPSHOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_WAL_LSN_DIFF,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WAL_REPLAY_PAUSE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WAL_REPLAY_RESUME,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WAL_SUMMARY_CONTENTS,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_WALFILE_NAME,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_WALFILE_NAME_OFFSET,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_XACT_COMMIT_TIMESTAMP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_XACT_COMMIT_TIMESTAMP_ORIGIN,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_XACT_STATUS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_XLOGFILE_NAME,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PG_XLOGFILE_NAME_OFFSET,NOK,N,N,N,S,N,N,N,N,N,N,N,N
PHRASETO_TSQUERY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PI,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PLAINTO_TSQUERY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
POINT,NOK,N,N,S,S,S,S,S,S,S,S,S,S
POLYGON,NOK,N,N,S,N,N,N,N,S,S,S,S,S
POPEN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
POSITION,NOK,N,N,S,S,S,S,S,S,S,S,S,S
POW,NOK,S,S,N,N,N,N,N,N,N,N,N,N
POWER,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PQSERVERVERSION,NOK,N,N,N,N,S,S,S,S,S,S,S,S
QUERY_TO_XML,NOK,N,N,N,S,S,S,S,S,S,S,S,S
QUERY_TO_XML_AND_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
QUERY_TO_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
QUERYTREE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
QUOTE_IDENT,NOK,N,N,S,N,S,S,S,S,S,S,S,S
QUOTE_LITERAL,NOK,N,N,S,S,S,S,S,S,S,S,S,S
QUOTE_NULLABLE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
RADIANS,NOK,N,N,S,S,S,S,S,S,S,S,S,S
RADIUS,NOK,N,N,S,N,N,N,N,S,S,S,S,S
RANDOM,NOK,N,N,S,S,S,S,S,S,S,S,S,S
RANDOM_NORMAL,NOK,N,N,N,N,N,N,N,N,N,N,S,S
RANGE_AGG,NOK,N,N,N,N,N,N,N,N,S,S,S,S
RANGE_INTERSECT_AGG,NOK,N,N,N,N,N,N,N,N,S,S,S,S
RANGE_MERGE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
RANK,OK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_COUNT,NOK,N,N,N,N,N,N,N,N,N,S,S,S
REGEXP_INSTR,NOK,N,N,N,N,N,N,N,N,N,S,S,S
REGEXP_LIKE,NOK,N,N,N,N,N,N,N,N,N,S,S,S
REGEXP_MATCH,NOK,N,N,N,N,S,S,S,S,S,S,S,S
REGEXP_MATCHES,NOK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_REPLACE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_SPLIT_TO_ARRAY,NOK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_SPLIT_TO_TABLE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
REGEXP_SUBSTR,NOK,N,N,N,N,N,N,N,N,N,S,S,S
REGR_AVGX,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_AVGY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_COUNT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_INTERCEPT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_R2,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SLOPE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SXX,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SXY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REGR_SYY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
REPEAT,NOK,N,N,S,N,N,N,N,S,S,S,S,S
REPLACE,OK,N,N,S,N,N,N,N,S,S,S,S,S
REVERSE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
RIGHT,OK,N,N,N,N,N,N,N,S,S,S,S,S
ROUND,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ROW_NUMBER,OK,N,N,N,S,S,S,S,S,S,S,S,S
ROW_SECURITY_ACTIVE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ROW_TO_JSON,NOK,N,N,N,N,S,S,S,S,S,S,S,S
RPAD,NOK,N,N,S,N,N,N,N,S,S,S,S,S
RTRIM,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SCALE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SCHEMA_TO_XML,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SCHEMA_TO_XML_AND_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SCHEMA_TO_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SESSION_USER,NOK,S,S,S,S,S,S,S,S,S,S,S,S
SET_BIT,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SET_BYTE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SET_CONFIG,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SET_MASKLEN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SETSEED,NOK,N,N,S,N,N,N,S,S,S,S,S,S
SETVAL,OK,N,N,S,S,S,S,S,S,S,S,S,S
SETWEIGHT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA224,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA256,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA384,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHA512,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SHOBJ_DESCRIPTION,NOK,N,N,N,S,S,S,S,S,S,S,S,S
SIGN,OK,N,N,S,N,N,N,N,S,S,S,S,S
SIMILAR TO,NOK,N,N,S,S,S,S,S,S,S,S,S,S
SIN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SIND,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SINH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SLOPE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
SOME,OK,N,N,S,S,S,S,S,S,S,S,S,S
SPLIT_PART,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SPRINTF,NOK,N,N,N,N,S,S,S,S,S,S,S,S
SQRT,NOK,N,N,S,N,N,N,N,S,S,S,S,S
STARTS_WITH,NOK,N,N,N,N,N,S,S,S,S,S,S,S
STATEMENT_TIMESTAMP,NOK,N,N,N,S,S,S,S,S,S,S,S,S
STDDEV,NOK,N,N,N,N,N,N,N,S,S,S,S,S
STDDEV_POP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
STDDEV_SAMP,NOK,N,N,N,S,S,S,S,S,S,S,S,S
STRING,NOK,N,N,N,N,S,S,S,S,S,S,S,S
STRING_AGG,OK,N,N,N,S,S,S,S,S,S,S,S,S
STRING_TO_ARRAY,NOK,N,N,S,S,S,S,S,S,S,S,S,S
STRING_TO_TABLE,NOK,N,N,N,N,N,N,N,N,S,S,S,S
STRIP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
STRPOS,NOK,N,N,S,N,N,N,N,S,S,S,S,S
SUBSTR,OK,N,N,S,N,N,N,N,S,S,S,S,S
SUBSTRING,OK,N,N,S,S,S,S,S,S,S,S,S,S
SUM,OK,S,S,S,S,S,S,S,S,S,S,S,S
SUPPRESS_REDUNDANT_UPDATES_TRIGGER,NOK,N,N,N,S,S,S,S,S,S,S,S,S
SWITCH,NOK,S,S,S,S,S,S,S,S,S,S,S,S
SYSTEM_USER,NOK,N,N,N,N,N,N,N,N,N,N,S,S
TABLE_TO_XML,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TABLE_TO_XML_AND_XMLSCHEMA,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TABLE_TO_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TAN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
TAND,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TANH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TEXT,OK,N,N,S,S,S,S,S,S,S,S,S,S
TIMEOFDAY,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TIMEZONE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
TO_ASCII,NOK,S,S,S,N,N,N,N,S,S,S,S,S
TO_BIN,NOK,N,N,N,N,N,N,N,N,N,N,N,S
TO_CHAR,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TO_DATE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
TO_HEX,NOK,N,N,S,N,N,N,N,S,S,S,S,S
TO_JSON,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_JSONB,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TO_NUMBER,OK,N,N,S,S,S,S,S,S,S,S,S,S
TO_OCT,NOK,N,N,N,N,N,N,N,N,N,N,N,S
TO_REGCLASS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGCOLLATION,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TO_REGNAMESPACE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGOPER,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGOPERATOR,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGPROC,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGPROCEDURE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGROLE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGTYPE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TO_REGTYPEMOD,NOK,N,N,N,N,N,N,N,N,N,N,N,S
TO_TIMESTAMP,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TO_TSQUERY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TO_TSVECTOR,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TRANSACTION_TIMESTAMP,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TRANSLATE,NOK,N,N,S,N,N,N,N,S,S,S,S,S
TRIM,OK,N,N,S,N,S,S,S,S,S,S,S,S
TRIM_ARRAY,NOK,N,N,N,N,N,N,N,N,S,S,S,S
TRIM_SCALE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TRUNC,NOK,S,S,S,S,S,S,S,S,S,S,S,S
TS_DEBUG,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_DELETE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_FILTER,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_HEADLINE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_LEXIZE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_PARSE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_RANK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_RANK_CD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_REWRITE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_STAT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TS_TOKEN_TYPE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TSQUERY_PHRASE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TSVECTOR_TO_ARRAY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TSVECTOR_UPDATE_TRIGGER,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TSVECTOR_UPDATE_TRIGGER_COLUMN,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TXID_CURRENT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TXID_CURRENT_IF_ASSIGNED,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TXID_CURRENT_SNAPSHOT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
TXID_SNAPSHOT_XIP,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TXID_SNAPSHOT_XMAX,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TXID_SNAPSHOT_XMIN,NOK,N,N,N,N,N,N,N,S,S,S,S,S
TXID_STATUS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
TXID_VISIBLE_IN_SNAPSHOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
UNICODE_ASSIGNED,NOK,N,N,N,N,N,N,N,N,N,N,N,S
UNICODE_VERSION,NOK,N,N,N,N,N,N,N,N,N,N,N,S
UNISTR,NOK,N,N,N,N,N,N,N,N,S,S,S,S
UNNEST,NOK,N,N,N,S,S,S,S,S,S,S,S,S
UPPER,OK,N,N,S,N,S,S,S,S,S,S,S,S
UPPER_INC,NOK,N,N,N,N,S,S,S,S,S,S,S,S
UPPER_INF,NOK,N,N,N,N,S,S,S,S,S,S,S,S
USER,NOK,N,N,S,S,S,S,S,S,S,S,S,S
UUID_EXTRACT_TIMESTAMP,NOK,N,N,N,N,N,N,N,N,N,N,N,S
UUID_EXTRACT_VERSION,NOK,N,N,N,N,N,N,N,N,N,N,N,S
VAR_POP,NOK,N,N,N,S,S,S,S,S,S,S,S,S
VAR_SAMP,NOK,N,N,N,S,S,S,S,S,S,S,S,S
VARIANCE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
VERSION,OK,N,N,S,S,S,S,S,S,S,S,S,S
WEBSEARCH_TO_TSQUERY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
WIDTH,NOK,N,N,S,N,N,N,N,S,S,S,S,S
WIDTH_BUCKET,NOK,N,N,S,N,N,N,N,S,S,S,S,S
XML_IS_WELL_FORMED,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XML_IS_WELL_FORMED_CONTENT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
