FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
CURRENT_DATE,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_QUERY,NOK,N,N,N,S,S,S,S,S,S,S,S,S
CURRENT_ROLE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
CURRENT_SCHEMA,NOK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_SCHEMAS,NOK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_SETTING,NOK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_TIME,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURRENT_TIMESTAMP,OK,S,S,S,S,S,S,S,S,S,S,S,S
CURRENT_USER,NOK,S,S,S,S,S,S,S,S,S,S,S,S
CURRVAL,OK,N,N,S,S,S,S,S,S,S,S,S,S
CURSOR_TO_XML,NOK,N,N,N,S,S,S,S,S,S,S,S,S
CURSOR_TO_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATABASE_TO_XML,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATABASE_TO_XML_AND_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATABASE_TO_XMLSCHEMA,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DATE_ADD,OK,N,N,N,N,N,N,N,N,N,N,S,S
DATE_BIN,NOK,N,N,N,N,N,N,N,N,S,S,S,S
DATE_PART,NOK,S,S,S,S,S,S,S,S,S,S,S,S
DATE_SUBTRACT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
DATE_TRUNC,NOK,S,S,S,S,S,S,S,S,S,S,S,S
DECODE,NOK,N,N,S,N,N,S,S,S,S,S,S,S
DEGREES,NOK,N,N,S,S,S,S,S,S,S,S,S,S
DENSE_RANK,OK,N,N,N,S,S,S,S,S,S,S,S,S
DIAGONAL,NOK,N,N,N,N,N,N,N,S,S,S,S,S
DIAMETER,NOK,N,N,S,N,N,N,N,S,S,S,S,S
DIV,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ENCODE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
ENUM_FIRST,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ENUM_LAST,NOK,N,N,N,N,N,N,N,S,S,S,S,S
ENUM_RANGE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
ERF,NOK,N,N,N,N,N,N,N,N,N,N,S,S
ERFC,NOK,N,N,N,N,N,N,N,N,N,N,S,S
EVERY,NOK,N,N,S,S,S,S,S,S,S,S,S,S
EXP,NOK,N,N,S,N,N,N,N,S,S,S,S,S
EXTRACT,NOK,S,S,S,S,S,S,S,S,S,S,S,S
FACTORIAL,NOK,N,N,N,N,S,S,S,S,S,S,S,S
FAMILY,NOK,N,N,S,N,N,N,N,S,S,S,S,S
FIRST_VALUE,OK,N,N,N,S,S,S,S,S,S,S,S,S
FLOOR,NOK,N,N,S,N,N,N,N,S,S,S,S,S
FORMAT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
FORMAT_TYPE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
GCD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
GEN_RANDOM_UUID,NOK,N,N,N,N,N,N,N,S,S,S,S,S
GENERATE_SERIES,NOK,N,N,S,N,N,N,N,S,S,S,S,S
GENERATE_SUBSCRIPTS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
GET_BIT,NOK,N,N,S,S,S,S,S,S,S,S,S,S
GET_BYTE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
GET_CURRENT_TS_CONFIG,NOK,N,N,N,S,S,S,S,S,S,S,S,S
GETTIMEOFDAY,NOK,S,S,N,N,N,N,N,N,N,N,N,N
GIN_CLEAN_PENDING_LIST,NOK,N,N,N,N,S,S,S,S,S,S,S,S
GREATEST,NOK,N,N,N,S,S,S,S,S,S,S,S,S
GROUPING,NOK,N,N,N,N,N,N,N,S,S,S,S,S
HAS_ANY_COLUMN_PRIVILEGE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_COLUMN_PRIVILEGE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_DATABASE_PRIVILEGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_FOREIGN_DATA_WRAPPER_PRIVILEGE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_FUNCTION_PRIVILEGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_LANGUAGE_PRIVILEGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_PARAMETER_PRIVILEGE,NOK,N,N,N,N,N,N,N,N,N,S,S,S
HAS_SCHEMA_PRIVILEGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_SEQUENCE_PRIVILEGE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_SERVER_PRIVILEGE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
HAS_TABLE_PRIVILEGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_TABLESPACE_PRIVILEGE,NOK,N,N,S,S,S,S,S,S,S,S,S,S
HAS_TYPE_PRIVILEGE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
HEIGHT,NOK,N,N,S,N,N,N,N,S,S,S,S,S
HOST,NOK,S,S,S,S,S,S,S,S,S,S,S,S
HOSTMASK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ICU_UNICODE_VERSION,NOK,N,N,N,N,N,N,N,N,N,N,N,S
IFNULL,OK,N,N,N,S,S,S,S,S,S,S,S,S
ILIKE,OK,N,N,S,S,S,S,S,S,S,S,S,S
INET_CLIENT_ADDR,NOK,N,N,S,S,S,S,S,S,S,S,S,S
INET_CLIENT_PORT,NOK,N,N,S,S,S,S,S,S,S,S,S,S
INET_MERGE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
INET_SAME_FAMILY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
INET_SERVER_ADDR,NOK,N,N,S,S,S,S,S,S,S,S,S,S
INET_SERVER_PORT,NOK,N,N,S,S,S,S,S,S,S,S,S,S
INITCAP,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ISCLOSED,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ISEMPTY,NOK,N,N,N,N,S,S,S,S,S,S,S,S
ISFINITE,NOK,N,N,S,N,N,N,N,S,S,S,S,S
ISOPEN,NOK,N,N,S,N,N,N,N,S,S,S,S,S
JSON,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_AGG,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSON_AGG_STRICT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_ARRAY,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_ARRAY_ELEMENTS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_ARRAY_ELEMENTS_TEXT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_ARRAY_LENGTH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_ARRAYAGG,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_BUILD_ARRAY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_BUILD_OBJECT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EACH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EACH_TEXT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EXISTS,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_EXTRACT_PATH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_EXTRACT_PATH_TEXT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_OBJECT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSON_OBJECT_AGG,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSON_OBJECT_AGG_STRICT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_OBJECT_AGG_UNIQUE,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_OBJECT_AGG_UNIQUE_STRICT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_OBJECT_KEYS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_OBJECTAGG,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSON_POPULATE_RECORD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_POPULATE_RECORDSET,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_QUERY,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_SCALAR,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_SERIALIZE,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_STRIP_NULLS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TABLE,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_TO_RECORD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TO_RECORDSET,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TO_TSVECTOR,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TYPEOF,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_VALUE,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON[B]_POPULATE_RECORD,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSON[B]_POPULATE_RECORDSET,NOK,N,N,N,N,S,S,S,N,N,N,N,N
JSON[B]_TO_RECORD,NOK,N,N,N,N,S,S,S,N,N,N,N,N
JSON[B]_TO_RECORDSET,NOK,N,N,N,N,S,S,S,N,N,N,N,N
JSONB_AGG,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSONB_AGG_STRICT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_ARRAY_ELEMENTS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_ARRAY_ELEMENTS_TEXT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_ARRAY_LENGTH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_BUILD_ARRAY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_BUILD_OBJECT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EACH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EACH_TEXT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EXTRACT_PATH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EXTRACT_PATH_TEXT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
