FUNCAO,STATUS,Dialect,30,40,55,56,57,80,84
ISEMPTY,NOK,NOK,N,N,N,S,S,N,N
ISSIMPLE,NOK,NOK,N,N,N,S,S,N,N
JSON_SCHEMA_VALID,NOK,NOK,N,N,N,N,N,S,N
JSON_SCHEMA_VALIDATION_REPORT,NOK,NOK,N,N,N,N,N,S,S
JSON_STORAGE_FREE,NOK,NOK,N,N,N,N,N,S,N
LINEFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
LINEFROMWKB,NOK,NOK,N,N,N,S,S,N,N
LINESTRING,NOK,NOK,N,N,N,S,S,S,S
LOAD_FILE,NOK,NOK,S,S,S,S,S,S,S
MASTER_POS_WAIT,NOK,NOK,S,S,S,S,S,S,N
MBRCONTAINS,NOK,NOK,N,N,N,S,S,S,S
MBRCOVEREDBY,NOK,NOK,N,N,N,S,S,S,N
MBRCOVERS,NOK,NOK,N,N,N,S,S,S,S
MBRDISJOINT,NOK,NOK,N,N,N,S,S,S,N
MBREQUAL,NOK,NOK,N,N,N,S,S,N,N
MBREQUALS,NOK,NOK,N,N,N,S,S,S,S
MBRINTERSECTS,NOK,NOK,N,N,N,S,S,S,N
MBROVERLAPS,NOK,NOK,N,N,N,S,S,S,S
MBRTOUCHES,NOK,NOK,N,N,N,S,S,S,N
MBRWITHIN,NOK,NOK,N,N,N,S,S,S,S
MLINEFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
MLINEFROMWKB,NOK,NOK,N,N,N,S,S,N,N
MPOINTFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
MPOINTFROMWKB,NOK,NOK,N,N,N,S,S,N,N
MPOLYFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
MPOLYFROMWKB,NOK,NOK,N,N,N,S,S,N,N
MULTILINESTRING,NOK,NOK,N,N,N,S,S,S,S
MULTIPOINT,NOK,NOK,N,N,N,S,S,S,N
MULTIPOLYGON,NOK,NOK,N,N,N,S,S,S,S
NUMGEOMETRIES,NOK,NOK,N,N,N,S,S,N,N
NUMINTERIORRINGS,NOK,NOK,N,N,N,S,S,N,N
NUMPOINTS,NOK,NOK,N,N,N,S,S,N,N
OLD_PASSWORD,NOK,NOK,S,S,S,N,N,N,N
OVERLAPS,NOK,NOK,N,N,N,S,S,N,N
PASSWORD,NOK,NOK,S,S,S,S,S,N,N
POINT,NOK,NOK,N,N,N,S,S,S,S
POINTFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
POINTFROMWKB,NOK,NOK,N,N,N,S,S,N,N
POINTN,NOK,NOK,N,N,N,S,S,N,N
POLYFROMTEXT,NOK,NOK,N,N,N,S,S,N,N
POLYFROMWKB,NOK,NOK,N,N,N,S,S,N,N
POLYGON,NOK,NOK,N,N,N,S,S,S,N
RELEASE_ALL_LOCKS,NOK,NOK,N,N,N,S,S,S,S
RELEASE_LOCK,NOK,NOK,S,S,S,S,S,S,N
ROLES_GRAPHML,NOK,NOK,N,N,N,N,N,S,N
SOURCE_POS_WAIT,NOK,NOK,N,N,N,N,N,S,S
SRID,NOK,NOK,N,N,N,S,S,N,N
ST_AREA,NOK,NOK,N,N,N,S,S,S,N
ST_ASBINARY,NOK,NOK,N,N,N,S,S,S,S
ST_ASGEOJSON,NOK,NOK,N,N,N,S,S,S,N
ST_ASTEXT,NOK,NOK,N,N,N,S,S,S,S
ST_BUFFER,NOK,NOK,N,N,N,S,S,S,N
ST_BUFFER_STRATEGY,NOK,NOK,N,N,N,S,S,S,S
ST_CENTROID,NOK,NOK,N,N,N,S,S,S,N
ST_COLLECT,NOK,NOK,N,N,N,N,N,S,S
ST_CONTAINS,NOK,NOK,N,N,N,S,S,S,N
ST_CONVEXHULL,NOK,NOK,N,N,N,S,S,S,S
ST_CROSSES,NOK,NOK,N,N,N,S,S,S,N
ST_DIFFERENCE,NOK,NOK,N,N,N,S,S,S,S
ST_DIMENSION,NOK,NOK,N,N,N,S,S,S,N
ST_DISJOINT,NOK,NOK,N,N,N,S,S,S,S
ST_DISTANCE,NOK,NOK,N,N,N,S,S,S,N
ST_DISTANCE_SPHERE,NOK,NOK,N,N,N,S,S,S,S
ST_ENDPOINT,NOK,NOK,N,N,N,S,S,S,N
ST_ENVELOPE,NOK,NOK,N,N,N,S,S,S,S
ST_EQUALS,NOK,NOK,N,N,N,S,S,S,N
ST_EXTERIORRING,NOK,NOK,N,N,N,S,S,S,S
ST_FRECHETDISTANCE,NOK,NOK,N,N,N,N,N,S,N
ST_GEOHASH,NOK,NOK,N,N,N,S,S,S,S
ST_GEOMCOLLFROMTEXT,NOK,NOK,N,N,N,S,S,S,N
ST_GEOMCOLLFROMWKB,NOK,NOK,N,N,N,S,S,S,S
ST_GEOMETRYN,NOK,NOK,N,N,N,S,S,S,N
ST_GEOMETRYTYPE,NOK,NOK,N,N,N,S,S,S,S
ST_GEOMFROMGEOJSON,NOK,NOK,N,N,N,S,S,S,N
ST_GEOMFROMTEXT,NOK,NOK,N,N,N,S,S,S,S
ST_GEOMFROMWKB,NOK,NOK,N,N,N,S,S,S,N
ST_HAUSDORFFDISTANCE,NOK,NOK,N,N,N,N,N,S,S
ST_INTERIORRINGN,NOK,NOK,N,N,N,S,S,S,N
ST_INTERSECTION,NOK,NOK,N,N,N,S,S,S,S
ST_INTERSECTS,NOK,NOK,N,N,N,S,S,S,N
ST_ISCLOSED,NOK,NOK,N,N,N,S,S,S,S
ST_ISEMPTY,NOK,NOK,N,N,N,S,S,S,N
ST_ISSIMPLE,NOK,NOK,N,N,N,S,S,S,S
ST_ISVALID,NOK,NOK,N,N,N,S,S,S,N
ST_LATFROMGEOHASH,NOK,NOK,N,N,N,S,S,S,S
ST_LATITUDE,NOK,NOK,N,N,N,N,N,S,N
ST_LENGTH,NOK,NOK,N,N,N,S,S,S,S
ST_LINEFROMTEXT,NOK,NOK,N,N,N,S,S,S,N
ST_LINEFROMWKB,NOK,NOK,N,N,N,S,S,S,S
ST_LINEINTERPOLATEPOINT,NOK,NOK,N,N,N,N,N,S,N
ST_LINEINTERPOLATEPOINTS,NOK,NOK,N,N,N,N,N,S,S
ST_LONGFROMGEOHASH,NOK,NOK,N,N,N,S,S,S,N
ST_LONGITUDE,NOK,NOK,N,N,N,N,N,S,S
ST_MAKEENVELOPE,NOK,NOK,N,N,N,S,S,S,N
ST_MLINEFROMTEXT,NOK,NOK,N,N,N,S,S,S,S
ST_MLINEFROMWKB,NOK,NOK,N,N,N,S,S,S,N
ST_MPOINTFROMTEXT,NOK,NOK,N,N,N,S,S,S,S
ST_MPOINTFROMWKB,NOK,NOK,N,N,N,S,S,S,N
ST_MPOLYFROMTEXT,NOK,NOK,N,N,N,S,S,S,S
ST_MPOLYFROMWKB,NOK,NOK,N,N,N,S,S,S,N
ST_NUMGEOMETRIES,NOK,NOK,N,N,N,S,S,S,S
ST_NUMINTERIORRING,NOK,NOK,N,N,N,S,S,S,N
ST_NUMPOINTS,NOK,NOK,N,N,N,S,S,S,S
ST_OVERLAPS,NOK,NOK,N,N,N,S,S,S,N
ST_POINTATDISTANCE,NOK,NOK,N,N,N,N,N,S,S
ST_POINTFROMGEOHASH,NOK,NOK,N,N,N,S,S,S,N
ST_POINTFROMTEXT,NOK,NOK,N,N,N,S,S,S,S
ST_POINTFROMWKB,NOK,NOK,N,N,N,S,S,S,N
ST_POINTN,NOK,NOK,N,N,N,S,S,S,S
ST_POLYFROMTEXT,NOK,NOK,N,N,N,S,S,S,N
ST_POLYFROMWKB,NOK,NOK,N,N,N,S,S,S,S
ST_SIMPLIFY,NOK,NOK,N,N,N,S,S,S,N
ST_SRID,NOK,NOK,N,N,N,S,S,S,S
ST_STARTPOINT,NOK,NOK,N,N,N,S,S,S,N
ST_SWAPXY,NOK,NOK,N,N,N,N,N,S,S
ST_SYMDIFFERENCE,NOK,NOK,N,N,N,S,S,S,N
ST_TOUCHES,NOK,NOK,N,N,N,S,S,S,S
ST_TRANSFORM,NOK,NOK,N,N,N,N,N,S,N
ST_UNION,NOK,NOK,N,N,N,S,S,S,S
ST_VALIDATE,NOK,NOK,N,N,N,S,S,S,N
ST_WITHIN,NOK,NOK,N,N,N,S,S,S,S
ST_X,NOK,NOK,N,N,N,S,S,S,N
ST_Y,NOK,NOK,N,N,N,S,S,S,S
STARTPOINT,NOK,NOK,N,N,N,S,S,N,N
STATEMENT_DIGEST,NOK,NOK,N,N,N,N,N,S,N
STATEMENT_DIGEST_TEXT,NOK,NOK,N,N,N,N,N,S,S
TOUCHES,NOK,NOK,N,N,N,S,S,N,N
VALIDATE_PASSWORD_STRENGTH,NOK,NOK,N,N,N,S,S,S,S
WAIT_FOR_EXECUTED_GTID_SET,NOK,NOK,N,N,N,S,S,S,S
WAIT_UNTIL_SQL_THREAD_AFTER_GTIDS,NOK,NOK,N,N,N,S,S,S,N
WEIGHT_STRING,NOK,NOK,N,N,N,S,S,S,S
