FUNCAO,STATUS,Dialect,8,9,10,11
PERCENTILE_DISC,NOK,NOK,S,S,S,S
POSSTR,NOK,NOK,S,S,S,S
POWER,NOK,OK,S,S,S,S
QUANTIZE,NOK,NOK,S,S,S,S
QUARTER,NOK,OK,S,S,S,S
RADIANS,NOK,OK,S,S,S,S
RAISE_ERROR,NOK,NOK,S,S,S,S
RAND,NOK,NOK,S,S,S,S
RANK,OK,OK,S,S,S,S
RATIO_TO_REPORT,NOK,NOK,S,S,S,S
REAL,OK,OK,S,S,S,S
REGEXP_COUNT,NOK,NOK,N,N,N,S
REGEXP_INSTR,NOK,NOK,N,N,N,S
REGEXP_LIKE,NOK,NOK,N,N,N,S
REGEXP_REPLACE,NOK,NOK,N,N,N,S
REGEXP_SUBSTR,NOK,NOK,N,N,N,S
REGR_AVGX,NOK,NOK,S,S,S,S
REGR_AVGY,NOK,NOK,S,S,S,S
REGR_COUNT,NOK,NOK,S,S,S,S
REGR_ICPT,NOK,NOK,S,S,S,S
REGR_INTERCEPT,NOK,NOK,S,S,S,S
REGR_R2,NOK,NOK,S,S,S,S
REGR_SLOPE,NOK,NOK,S,S,S,S
REGR_SXX,NOK,NOK,S,S,S,S
REGR_SXY,NOK,NOK,S,S,S,S
REGR_SYY,NOK,NOK,S,S,S,S
REPEAT,NOK,OK,S,S,S,S
REPLACE,OK,OK,S,S,S,S
REPLACE_REGEXPR,NOK,NOK,S,S,S,S
RIGHT,OK,OK,S,S,S,S
ROUND,NOK,OK,S,S,S,S
ROUND_TIMESTAMP,NOK,NOK,S,S,S,S
ROW_NUMBER,OK,OK,S,S,S,S
RPAD,NOK,OK,S,S,S,S
RTRIM,NOK,OK,S,S,S,S
SECOND,OK,OK,S,S,S,S
SESSION_USER,NOK,NOK,S,S,S,S
SIGN,OK,OK,S,S,S,S
SIN,NOK,OK,S,S,S,S
SINH,NOK,NOK,S,S,S,S
SMALLINT,OK,OK,S,S,S,S
SPACE,NOK,OK,S,S,S,S
SPLIT,NOK,NOK,S,S,S,S
SQRT,NOK,OK,S,S,S,S
STDDEV,NOK,NOK,S,S,S,S
STDDEV_SAMP,NOK,NOK,S,S,S,S
STRIP,NOK,NOK,S,S,S,S
SUBSTR,OK,OK,S,S,S,S
SUBSTRING,OK,OK,S,S,S,S
SUM,OK,OK,S,S,S,S
TAN,NOK,OK,S,S,S,S
TANH,NOK,NOK,S,S,S,S
THIS_MONTH,NOK,NOK,S,S,S,S
THIS_WEEK,NOK,NOK,S,S,S,S
THIS_YEAR,NOK,NOK,S,S,S,S
TIME,OK,OK,S,S,S,S
TIMESTAMP,OK,OK,S,S,S,S
TIMESTAMP_TZ,NOK,NOK,S,S,S,S
TIMESTAMPADD,OK,OK,S,S,S,S
TIMESTAMPDIFF,NOK,NOK,S,S,S,S
TO_CLOB,NOK,NOK,S,S,S,S
TO_DATE,NOK,NOK,S,S,S,S
TO_NCHAR,NOK,NOK,S,S,S,S
TO_NCLOB,NOK,NOK,S,S,S,S
TO_TIMESTAMP,NOK,NOK,S,S,S,S
TO_UTC_TIMESTAMP,NOK,NOK,S,S,S,S
TRANSLATE,NOK,NOK,S,S,S,S
TRIM,OK,OK,S,S,S,S
TRIM_ARRAY,NOK,NOK,S,S,S,S
TRUNC,NOK,OK,S,S,S,S
TRUNC_TIMESTAMP,NOK,NOK,S,S,S,S
TRUNCATE,NOK,OK,S,S,S,S
UCASE,OK,OK,S,S,S,S
UNNEST,NOK,NOK,S,S,S,S
UPPER,OK,OK,S,S,S,S
VALUE,OK,OK,S,S,S,S
