FUNCAO,STATUS,30,40,55,56,57,80,84
GEOMETRYTYPE,NOK,N,N,N,S,S,N,N
GEOMFROMTEXT,NOK,N,N,N,S,S,N,N
GEOMFROMWKB,NOK,N,N,N,S,S,N,N
GET_DD_COLUMN_PRIVILEGES,NOK,N,N,N,N,N,S,N
GET_DD_CREATE_OPTIONS,NOK,N,N,N,N,N,S,S
GET_DD_INDEX_SUB_PART_LENGTH,NOK,N,N,N,N,N,S,N
GET_FORMAT,NOK,S,S,S,S,S,S,S
GET_LOCK,NOK,S,S,S,S,S,S,N
GLENGTH,NOK,N,N,N,S,S,N,N
GREATEST,NOK,S,S,S,S,S,S,S
GROUP_CONCAT,OK,S,S,S,S,S,S,N
GROUP_REPLICATION_DISABLE_MEMBER_ACTION,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_ENABLE_MEMBER_ACTION,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_GET_COMMUNICATION_PROTOCOL,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_GET_WRITE_CONCURRENCY,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_RESET_MEMBER_ACTIONS,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_SET_AS_PRIMARY,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_SET_COMMUNICATION_PROTOCOL,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_SET_WRITE_CONCURRENCY,NOK,N,N,N,N,N,S,N
GROUP_REPLICATION_SWITCH_TO_MULTI_PRIMARY_MODE,NOK,N,N,N,N,N,S,S
GROUP_REPLICATION_SWITCH_TO_SINGLE_PRIMARY_MODE,NOK,N,N,N,N,N,S,N
GROUPING,NOK,N,N,N,N,N,S,S
GTID_SUBSET,NOK,N,N,N,S,S,S,N
GTID_SUBTRACT,NOK,N,N,N,S,S,S,N
HEX,NOK,S,S,S,S,S,S,N
HOUR,OK,S,S,S,S,S,S,S
ICU_VERSION,NOK,N,N,N,N,N,S,N
IF,OK,S,S,S,S,S,S,S
IFNULL,OK,S,S,S,S,S,S,N
INET_ATON,NOK,S,S,S,S,S,S,N
INET_NTOA,NOK,S,S,S,S,S,S,S
INET6_ATON,NOK,N,N,N,S,S,S,N
INET6_NTOA,NOK,N,N,N,S,S,S,N
INSERT,OK,S,S,S,S,S,S,N
INSTR,NOK,S,S,S,S,S,S,S
INTERIORRINGN,NOK,N,N,N,S,S,N,N
INTERNAL_AUTO_INCREMENT,NOK,N,N,N,N,N,S,N
INTERNAL_AVG_ROW_LENGTH,NOK,N,N,N,N,N,S,S
INTERNAL_CHECK_TIME,NOK,N,N,N,N,N,S,N
INTERNAL_CHECKSUM,NOK,N,N,N,N,N,S,S
INTERNAL_DATA_FREE,NOK,N,N,N,N,N,S,N
INTERNAL_DATA_LENGTH,NOK,N,N,N,N,N,S,S
INTERNAL_DD_CHAR_LENGTH,NOK,N,N,N,N,N,S,N
INTERNAL_GET_COMMENT_OR_ERROR,NOK,N,N,N,N,N,S,S
INTERNAL_GET_ENABLED_ROLE_JSON,NOK,N,N,N,N,N,S,N
INTERNAL_GET_HOSTNAME,NOK,N,N,N,N,N,S,S
INTERNAL_GET_USERNAME,NOK,N,N,N,N,N,S,N
INTERNAL_GET_VIEW_WARNING_OR_ERROR,NOK,N,N,N,N,N,S,S
INTERNAL_INDEX_COLUMN_CARDINALITY,NOK,N,N,N,N,N,S,N
INTERNAL_INDEX_LENGTH,NOK,N,N,N,N,N,S,S
INTERNAL_IS_ENABLED_ROLE,NOK,N,N,N,N,N,S,N
INTERNAL_IS_MANDATORY_ROLE,NOK,N,N,N,N,N,S,S
INTERNAL_KEYS_DISABLED,NOK,N,N,N,N,N,S,N
INTERNAL_MAX_DATA_LENGTH,NOK,N,N,N,N,N,S,S
INTERNAL_TABLE_ROWS,NOK,N,N,N,N,N,S,N
INTERNAL_UPDATE_TIME,NOK,N,N,N,N,N,S,S
INTERSECTS,NOK,N,N,N,S,S,N,N
INTERVAL,OK,S,S,S,S,S,S,N
IS NOT,NOK,N,N,N,S,S,S,S
IS NOT NULL,OK,N,N,N,S,S,S,N
IS NULL,OK,N,N,N,S,S,S,S
IS_FREE_LOCK,NOK,S,S,S,S,S,S,N
IS_IPV4,NOK,N,N,N,S,S,S,N
IS_IPV4_COMPAT,NOK,N,N,N,S,S,S,N
