"FUNCAO","STATUS","Dialect","7","8","9","10","11","12","18","19","21","23"
"JSON_DATAGUIDE",OK,NOK,N,N,N,N,N,N,S,S,S,S
"JSON_OBJECT",OK,NOK,N,N,N,N,N,N,S,S,S,S
"JSON_OBJECTAGG",OK,NOK,N,N,N,N,N,N,S,S,S,S
"JSON_QUERY",OK,OK,N,N,N,N,N,S,S,S,S,S
"JSON_TABLE",OK,OK,N,N,N,N,N,S,S,S,S,S
"JSON_TRANSFORM",OK,OK,N,N,N,N,N,N,N,S,S,S
"JSON_VALUE",OK,OK,N,N,N,N,N,S,S,S,S,S
"LAG",OK,NOK,N,S,S,S,S,S,S,S,S,S
"LAST",OK,NOK,N,N,S,S,S,S,S,S,S,S
"LAST_DAY",OK,OK,S,S,S,S,S,S,S,S,S,S
"LAST_VALUE",OK,NOK,N,S,S,S,S,S,S,S,S,S
"LEAD",OK,NOK,N,S,S,S,S,S,S,S,S,S
"LEAST",OK,OK,S,S,S,S,S,S,S,S,S,S
"LENGTH",OK,OK,S,S,S,S,S,S,S,S,S,S
"LN",OK,OK,S,S,S,S,S,S,S,S,S,S
"LNNVL",OK,NOK,N,N,N,S,S,S,S,S,S,S
"LOCALTIMESTAMP",OK,NOK,N,N,S,S,S,S,S,S,S,S
"LOG",OK,OK,S,S,S,S,S,S,S,S,S,S
"LOWER",OK,OK,S,S,S,S,S,S,S,S,S,S
"LPAD",OK,OK,S,S,S,S,S,S,S,S,S,S
"LTRIM",OK,OK,S,S,S,S,S,S,S,S,S,S
"MAKE_REF",OK,OK,S,S,S,S,S,S,S,S,S,S
"MAX",OK,OK,S,S,S,S,S,S,S,S,S,S
"MEDIAN",OK,NOK,N,N,N,S,S,S,S,S,S,S
"MIN",OK,OK,S,S,S,S,S,S,S,S,S,S
"MOD",OK,OK,S,S,S,S,S,S,S,S,S,S
"MONTHS_BETWEEN",OK,OK,S,S,S,S,S,S,S,S,S,S
"NANVL",OK,NOK,N,N,N,S,S,S,S,S,S,S
"NCGR",OK,OK,N,N,N,N,N,N,S,S,S,S
"NEW_TIME",OK,OK,S,S,S,S,S,S,S,S,S,S
"NEXT_DAY",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLS_CHARSET_DECL_LEN",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLS_CHARSET_ID",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLS_CHARSET_NAME",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLS_COLLATION_ID",OK,OK,N,N,N,N,N,N,S,S,S,S
"NLS_COLLATION_NAME",OK,OK,N,N,N,N,N,N,S,S,S,S
"NLS_INITCAP",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLS_LOWER",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLS_UPPER",OK,OK,S,S,S,S,S,S,S,S,S,S
"NLSSORT",OK,OK,S,S,S,S,S,S,S,S,S,S
"NTH_VALUE",OK,NOK,N,N,N,N,N,S,S,S,S,S
"NTILE",OK,NOK,N,S,S,S,S,S,S,S,S,S
"NULLIF",OK,NOK,N,N,S,S,S,S,S,S,S,S
"NUMTODSINTERVAL",OK,NOK,N,S,S,S,S,S,S,S,S,S
"NUMTOYMINTERVAL",OK,NOK,N,S,S,S,S,S,S,S,S,S
"NVL",OK,OK,S,S,S,S,S,S,S,S,S,S
"NVL2",OK,NOK,N,S,S,S,S,S,S,S,S,S
"ORA_DM_PARTITION_NAME",OK,OK,N,N,N,N,N,N,S,S,S,S
"ORA_DST_AFFECTED",OK,OK,N,N,N,N,N,S,S,S,S,S
"ORA_DST_CONVERT",OK,OK,N,N,N,N,N,S,S,S,S,S
"ORA_DST_ERROR",OK,OK,N,N,N,N,N,S,S,S,S,S
"ORA_HASH",OK,OK,N,N,N,S,S,S,S,S,S,S
"ORA_INVOKING_USER",OK,OK,N,N,N,N,N,S,S,S,S,S
"ORA_INVOKING_USERID",OK,OK,N,N,N,N,N,S,S,S,S,S
"PATH",OK,NOK,N,N,S,S,S,S,S,S,S,S
"PERCENT_RANK",OK,NOK,N,S,S,S,S,S,S,S,S,S
"PERCENTILE_CONT",OK,NOK,N,N,S,S,S,S,S,S,S,S
"PERCENTILE_DISC",OK,NOK,N,N,S,S,S,S,S,S,S,S
"POWER",OK,OK,S,S,S,S,S,S,S,S,S,S
"POWERMULTISET",OK,OK,N,N,N,S,S,S,S,S,S,S
"POWERMULTISET_BY_CARDINALITY",OK,OK,N,N,N,S,S,S,S,S,S,S
"PREDICTION",OK,OK,N,N,N,S,S,S,S,S,S,S
"PREDICTION_BOUNDS",OK,OK,N,N,N,N,S,S,S,S,S,S
"PREDICTION_COST",OK,OK,N,N,N,S,S,S,S,S,S,S
"PREDICTION_DETAILS",OK,OK,N,N,N,S,S,S,S,S,S,S
"PREDICTION_PROBABILITY",OK,OK,N,N,N,S,S,S,S,S,S,S
"PREDICTION_SET",OK,OK,N,N,N,S,S,S,S,S,S,S
"PRESENTNNV",OK,OK,N,N,N,S,S,S,S,S,S,S
"PRESENTV",OK,OK,N,N,N,S,S,S,S,S,S,S
"PREVIOUS",OK,NOK,N,N,N,S,S,S,S,S,S,S
"RANK",OK,NOK,N,S,S,S,S,S,S,S,S,S
"RATIO_TO_REPORT",OK,OK,N,S,S,S,S,S,S,S,S,S
"RAWTOHEX",OK,OK,S,S,S,S,S,S,S,S,S,S
"RAWTONHEX",OK,NOK,N,N,S,S,S,S,S,S,S,S
"REF",OK,OK,S,S,S,S,S,S,S,S,S,S
"REFTOHEX",OK,OK,S,S,S,S,S,S,S,S,S,S
"REGEXP_COUNT",OK,NOK,N,N,N,N,S,S,S,S,S,S
"REGEXP_INSTR",OK,NOK,N,N,N,S,S,S,S,S,S,S
"REGEXP_REPLACE",OK,NOK,N,N,N,S,S,S,S,S,S,S
"REGEXP_SUBSTR",OK,NOK,N,N,N,S,S,S,S,S,S,S
"REGR_AVGX",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_AVGY",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_COUNT",OK,NOK,N,N,N,N,S,N,S,S,S,S
"REGR_INTERCEPT",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_R2",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_SLOPE",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_SXX",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_SXY",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REGR_SYY",OK,NOK,N,N,N,N,N,N,S,S,S,S
"REMAINDER",OK,NOK,N,N,N,S,S,S,S,S,S,S
"REPLACE",OK,OK,S,S,S,S,S,S,S,S,S,S
"ROUND",OK,OK,S,S,S,S,S,S,S,S,S,S
"ROW_NUMBER",OK,NOK,N,S,S,S,S,S,S,S,S,S
"ROWIDTOCHAR",OK,OK,S,S,S,S,S,S,S,S,S,S
"ROWTONCHAR",OK,OK,N,N,N,N,N,N,S,S,S,S
"RPAD",OK,OK,S,S,S,S,S,S,S,S,S,S
"RTRIM",OK,OK,S,S,S,S,S,S,S,S,S,S
"SCN_TO_TIMESTAMP",OK,OK,N,N,N,S,S,S,S,S,S,S
"SESSIONTIMEZONE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"SET",OK,OK,S,S,S,S,S,S,S,S,S,S
"SIGN",OK,OK,S,S,S,S,S,S,S,S,S,S
"SIN",OK,OK,S,S,S,S,S,S,S,S,S,S
"SINH",OK,OK,S,S,S,S,S,S,S,S,S,S
"SOUNDEX",OK,OK,S,S,S,S,S,S,S,S,S,S
"SQRT",OK,OK,S,S,S,S,S,S,S,S,S,S
"STANDARD_HASH",OK,OK,N,N,N,N,N,S,S,S,S,S
"STATS_BINOMIAL_TEST",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_CROSSTAB",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_F_TEST",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_KS_TEST",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_MODE",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_MW_TEST",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_ONE_WAY_ANOVA",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_T_TEST_INDEP",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_T_TEST_INDEPU",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_T_TEST_ONE",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_T_TEST_PAIRED",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STATS_WSR_TEST",OK,NOK,N,N,N,S,S,S,S,S,S,S
"STDDEV",OK,OK,S,S,S,S,S,S,S,S,S,S
"STDDEV_POP",OK,NOK,N,S,S,S,S,S,S,S,S,S
"STDDEV_SAMP",OK,NOK,N,S,S,S,S,S,S,S,S,S
"SUBSTR",OK,OK,S,S,S,S,S,S,S,S,S,S
"SUM",OK,OK,S,S,S,S,S,S,S,S,S,S
"SYS_CONNECT_BY_PATH",OK,OK,N,N,S,S,S,S,S,S,S,S
"SYS_CONTEXT",OK,OK,S,S,S,S,S,S,S,S,S,S
"SYS_DBURIGEN",OK,OK,N,N,S,S,S,S,S,S,S,S
"SYS_EXTRACT_UTC",OK,OK,N,N,S,S,S,S,S,S,S,S
"SYS_GUID",OK,OK,S,S,S,S,S,S,S,S,S,S
"SYS_OP_ZONE_ID",OK,OK,N,N,N,N,N,S,S,S,S,S
"SYS_TYPEID",OK,OK,N,N,S,S,S,S,S,S,S,S
"SYS_XMLAGG",OK,OK,N,N,S,S,S,S,S,S,S,S
"SYS_XMLGEN",OK,OK,N,N,S,S,S,S,S,S,S,S
"SYSDATE",OK,OK,S,S,S,S,S,S,S,S,S,S
"SYSTIMESTAMP",OK,NOK,N,N,S,S,S,S,S,S,S,S
"TAN",OK,OK,S,S,S,S,S,S,S,S,S,S
"TANH",OK,OK,S,S,S,S,S,S,S,S,S,S
"TIMESTAMP_TO_SCN",OK,OK,N,N,N,S,S,S,S,S,S,S
"TO_APPROX_COUNT_DISTINCT",OK,OK,N,N,N,N,N,N,S,S,S,S
"TO_APPROX_PERCENTILE",OK,OK,N,N,N,N,N,N,S,S,S,S
"TO_BINARY_DOUBLE",OK,OK,N,N,N,S,S,S,S,S,S,S
"TO_BINARY_FLOAT",OK,OK,N,N,N,S,S,S,S,S,S,S
"TO_BLOB",OK,OK,N,N,N,N,S,S,S,S,S,S
"TO_CHAR",OK,OK,S,S,S,S,S,S,S,S,S,S
"TO_CLOB",OK,OK,N,N,S,S,S,S,S,S,S,S
"TO_DATE",OK,OK,S,S,S,S,S,S,S,S,S,S
"TO_DSINTERVAL",OK,OK,N,N,S,S,S,S,S,S,S,S
"TO_LOB",OK,OK,S,S,S,S,S,S,S,S,S,S
"TO_MULTI_BYTE",OK,OK,S,S,S,S,S,S,S,S,S,S
"TO_NCHAR",OK,OK,N,N,S,S,S,S,S,S,S,S
"TO_NCLOB",OK,OK,N,N,S,S,S,S,S,S,S,S
"TO_NUMBER",OK,OK,S,S,S,S,S,S,S,S,S,S
"TO_SINGLE_BYTE",OK,OK,S,S,S,S,S,S,S,S,S,S
"TO_TIMESTAMP",OK,NOK,N,N,S,S,S,S,S,S,S,S
"TO_TIMESTAMP_TZ",OK,OK,N,N,S,S,S,S,S,S,S,S
"TO_YMINTERVAL",OK,OK,N,N,S,S,S,S,S,S,S,S
"TRANSLATE",OK,OK,S,S,S,S,S,S,S,S,S,S
"TRANSLATE...USING",OK,NOK,N,N,N,N,N,N,S,S,S,S
"TREAT",OK,NOK,N,N,S,S,S,S,S,S,S,S
"TRIM",OK,OK,S,S,S,S,S,S,S,S,S,S
"TRUNC",OK,OK,S,S,S,S,S,S,S,S,S,S
"TZ_OFFSET",OK,NOK,N,N,S,S,S,S,S,S,S,S
"UID",OK,OK,S,S,S,S,S,S,S,S,S,S
"UNISTR",OK,NOK,N,N,S,S,S,S,S,S,S,S
"UPPER",OK,OK,S,S,S,S,S,S,S,S,S,S
"USER",OK,OK,S,S,S,S,S,S,S,S,S,S
"USERENV",OK,OK,S,S,S,S,S,S,S,S,S,S
"UUID",OK,NOK,N,N,N,N,N,N,N,N,N,S
"VALIDATE_CONVERSION",OK,OK,N,N,N,N,N,N,S,S,S,S
"VALUE",OK,OK,S,S,S,S,S,S,S,S,S,S
"VAR_POP",OK,NOK,N,S,S,S,S,S,S,S,S,S
"VAR_SAMP",OK,NOK,N,S,S,S,S,S,S,S,S,S
"VARIANCE",OK,OK,S,S,S,S,S,S,S,S,S,S
"VSIZE",OK,OK,S,S,S,S,S,S,S,S,S,S
"WIDTH_BUCKET",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLAGG",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLCAST",OK,NOK,N,N,N,N,S,S,S,S,S,S
"XMLCDATA",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLCOLATTVAL",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLCOMMENT",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLCONCAT",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLDIFF",OK,NOK,N,N,N,N,S,S,S,S,S,S
"XMLELEMENT",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLEXISTS",OK,NOK,N,N,N,N,S,S,S,S,S,S
"XMLFOREST",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLISVALID",OK,NOK,N,N,N,N,N,S,S,S,S,S
"XMLPARSE",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLPATCH",OK,NOK,N,N,N,N,S,S,S,S,S,S
"XMLPI",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLQUERY",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLROOT",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLSEQUENCE",OK,NOK,N,N,S,S,S,S,S,S,S,S
"XMLSERIALIZE",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLTABLE",OK,NOK,N,N,N,S,S,S,S,S,S,S
"XMLTRANSFORM",OK,NOK,N,N,S,S,S,S,S,S,S,S
