FUNCAO,STATUS,Dialect,7,2000,2005,2008,2012,2014,2016,2017,2019,2022
FULLTEXTSERVICEPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
FUNCTIONS,NOK,NOK,S,S,S,S,S,S,S,S,S,S
GET_FILESTREAM_TRANSACTION_CONTEXT,NOK,NOK,S,S,S,S,S,S,S,S,S,S
GETANSINULL,OK,OK,S,S,S,S,S,S,S,S,S,S
GETDATE,OK,OK,S,S,S,S,S,S,S,S,S,S
GETUTCDATE,OK,OK,S,S,S,S,S,S,S,S,S,S
GROUPING,OK,OK,S,S,S,S,S,S,S,S,S,S
GROUPING_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
HAS_PERMS_BY_NAME,NOK,NOK,S,S,S,S,S,S,S,S,S,S
HOST_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
HOST_NAME,OK,OK,S,S,S,S,S,S,S,S,S,S
IIF,OK,OK,N,N,N,N,S,S,S,S,S,S
INDEX_COL,NOK,NOK,S,S,S,S,S,S,S,S,S,S
INDEXKEY_PROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
INDEXPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
IS_MEMBER,NOK,NOK,S,S,S,S,S,S,S,S,S,S
IS_ROLEMEMBER,NOK,NOK,S,S,S,S,S,S,S,S,S,S
IS_SRVROLEMEMBER,NOK,NOK,S,S,S,S,S,S,S,S,S,S
ISDATE,OK,OK,S,S,S,S,S,S,S,S,S,S
ISJSON,OK,OK,N,N,N,N,N,N,S,S,S,S
ISNULL,OK,OK,S,S,S,S,S,S,S,S,S,S
ISNUMERIC,OK,OK,S,S,S,S,S,S,S,S,S,S
JSON_MODIFY,NOK,NOK,N,N,N,N,N,N,S,S,S,S
JSON_QUERY,OK,OK,N,N,N,N,N,N,S,S,S,S
JSON_VALUE,OK,OK,N,N,N,N,N,N,S,S,S,S
LAG,OK,OK,N,N,N,N,S,S,S,S,S,S
LAST_VALUE,OK,OK,N,N,N,N,S,S,S,S,S,S
LEAD,OK,OK,N,N,N,N,S,S,S,S,S,S
LEFT,OK,OK,S,S,S,S,S,S,S,S,S,S
LEN,OK,OK,S,S,S,S,S,S,S,S,S,S
LOG,OK,OK,S,S,S,S,S,S,S,S,S,S
LOG10,OK,OK,S,S,S,S,S,S,S,S,S,S
LOWER,OK,OK,S,S,S,S,S,S,S,S,S,S
LTRIM,OK,OK,S,S,S,S,S,S,S,S,S,S
MAX,OK,OK,S,S,S,S,S,S,S,S,S,S
MIN,OK,OK,S,S,S,S,S,S,S,S,S,S
MIN_ACTIVE_ROWVERSION,NOK,NOK,S,S,S,S,S,S,S,S,S,S
MONTH,OK,OK,S,S,S,S,S,S,S,S,S,S
NCHAR,OK,OK,S,S,S,S,S,S,S,S,S,S
NEWID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
NEWSEQUENTIALID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
NEXT VALUE FOR,OK,OK,S,S,S,S,S,S,S,S,S,S
NTILE,OK,OK,N,N,S,S,S,S,S,S,S,S
OBJECT_DEFINITION,NOK,NOK,S,S,S,S,S,S,S,S,S,S
OBJECT_ID,NOK,NOK,S,S,S,S,S,S,S,S,S,S
OBJECT_NAME,NOK,NOK,S,S,S,S,S,S,S,S,S,S
OBJECT_SCHEMA_NAME,NOK,NOK,S,S,S,S,S,S,S,S,S,S
OBJECTPROPERTY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
OBJECTPROPERTYEX,NOK,NOK,S,S,S,S,S,S,S,S,S,S
ODBC SCALAR FUNCTIONS,NOK,NOK,S,S,S,S,S,S,S,S,S,S
ORIGINAL_DB_NAME,NOK,NOK,S,S,S,S,S,S,S,S,S,S
ORIGINAL_LOGIN,NOK,NOK,S,S,S,S,S,S,S,S,S,S
PARSE,NOK,NOK,N,N,N,N,S,S,S,S,S,S
PARSENAME,OK,OK,S,S,S,S,S,S,S,S,S,S
PATINDEX,NOK,NOK,S,S,S,S,S,S,S,S,S,S
PERCENT_RANK,OK,OK,N,N,N,N,S,S,S,S,S,S
PERCENTILE_CONT,NOK,NOK,N,N,N,N,S,S,S,S,S,S
PERCENTILE_DISC,NOK,NOK,N,N,N,N,S,S,S,S,S,S
PERMISSIONS,NOK,NOK,S,S,S,S,S,S,S,S,S,S
PI,OK,OK,S,S,S,S,S,S,S,S,S,S
POWER,OK,OK,S,S,S,S,S,S,S,S,S,S
PWDCOMPARE,NOK,NOK,S,S,S,S,S,S,S,S,S,S
PWDENCRYPT,NOK,NOK,S,S,S,S,S,S,S,S,S,S
QUOTENAME,OK,OK,S,S,S,S,S,S,S,S,S,S
