FUNCAO,STATUS,Dialect,103,105,106,110
JSON_OBJECT_TO_ARRAY,OK,NOK,S,S,S,S
JSON_OBJECTAGG,OK,NOK,S,S,S,S
JSON_OVERLAPS,OK,NOK,S,S,S,S
JSON_PRETTY,OK,NOK,S,S,S,S
JSON_QUERY,OK,NOK,S,S,S,S
JSON_QUOTE,OK,NOK,S,S,S,S
JSON_REMOVE,OK,NOK,S,S,S,S
JSON_REPLACE,OK,NOK,S,S,S,S
JSON_SCHEMA_VALID,OK,NOK,S,S,S,S
JSON_SEARCH,OK,NOK,S,S,S,S
JSON_SET,OK,NOK,S,S,S,S
JSON_TABLE,OK,OK,N,N,S,S
JSON_TYPE,OK,NOK,S,S,S,S
JSON_UNQUOTE,OK,NOK,S,S,S,S
JSON_VALID,OK,NOK,S,S,S,S
JSON_VALUE,OK,NOK,S,S,S,S
KDF,OK,NOK,S,S,S,S
LAST_DAY,OK,NOK,S,S,S,S
LAST_INSERT_ID,OK,NOK,S,S,S,S
LAST_VALUE,OK,NOK,S,S,S,S
LCASE,OK,NOK,S,S,S,S
LEFT,OK,NOK,S,S,S,S
LENGTH,OK,NOK,S,S,S,S
LENGTHB,OK,NOK,S,S,S,S
LIKE,OK,NOK,S,S,S,S
LN,OK,NOK,S,S,S,S
LOCALTIME,OK,NOK,S,S,S,S
LOCALTIMESTAMP,OK,NOK,S,S,S,S
LOCATE,OK,NOK,S,S,S,S
LOG,OK,NOK,S,S,S,S
LOG10,OK,NOK,S,S,S,S
LOG2,OK,NOK,S,S,S,S
LOWER,OK,NOK,S,S,S,S
LPAD,OK,NOK,S,S,S,S
LTRIM,OK,NOK,S,S,S,S
MAKE_SET,OK,NOK,S,S,S,S
MAKEDATE,OK,NOK,S,S,S,S
MAKETIME,OK,NOK,S,S,S,S
MAX,OK,NOK,S,S,S,S
MD5,OK,NOK,S,S,S,S
MICROSECOND,OK,NOK,S,S,S,S
MID,OK,NOK,S,S,S,S
MIN,OK,NOK,S,S,S,S
MINUTE,OK,NOK,S,S,S,S
MOD,OK,NOK,S,S,S,S
MONTH,OK,NOK,S,S,S,S
MONTHNAME,OK,NOK,S,S,S,S
MONTHS_BETWEEN,OK,NOK,S,S,S,S
NAME_CONST,OK,NOK,S,S,S,S
NATURAL_SORT_KEY,OK,NOK,S,S,S,S
NEXT VALUE FOR,OK,OK,S,S,S,S
NOT LIKE,OK,NOK,S,S,S,S
NOT REGEXP,OK,NOK,S,S,S,S
NOW,OK,NOK,S,S,S,S
NULLIF,OK,NOK,S,S,S,S
NVL,OK,NOK,S,S,S,S
NVL2,OK,NOK,S,S,S,S
OCT,OK,NOK,S,S,S,S
OCTET_LENGTH,OK,NOK,S,S,S,S
OFFSET,OK,OK,N,N,S,S
ORD,OK,NOK,S,S,S,S
PERIOD_ADD,OK,NOK,S,S,S,S
PERIOD_DIFF,OK,NOK,S,S,S,S
PI,OK,NOK,S,S,S,S
POSITION,OK,NOK,S,S,S,S
POW,OK,NOK,S,S,S,S
POWER,OK,NOK,S,S,S,S
PREVIOUS VALUE FOR,OK,OK,S,S,S,S
QUARTER,OK,NOK,S,S,S,S
QUOTE,OK,NOK,S,S,S,S
RADIANS,OK,NOK,S,S,S,S
RAND,OK,NOK,S,S,S,S
RANDOM_BYTES,OK,NOK,S,S,S,S
REPEAT,OK,NOK,S,S,S,S
REPLACE,OK,NOK,S,S,S,S
RETURNING,OK,OK,N,S,S,S
REVERSE,OK,NOK,S,S,S,S
RIGHT,OK,NOK,S,S,S,S
ROUND,OK,NOK,S,S,S,S
ROW_COUNT,OK,NOK,S,S,S,S
ROW_NUMBER,OK,OK,S,S,S,S
ROWNUM,OK,NOK,S,S,S,S
RPAD,OK,NOK,S,S,S,S
RTRIM,OK,NOK,S,S,S,S
SEC_TO_TIME,OK,NOK,S,S,S,S
SECOND,OK,NOK,S,S,S,S
SFORMAT,OK,NOK,S,S,S,S
SHA1,OK,NOK,S,S,S,S
SHA2,OK,NOK,S,S,S,S
SIGN,OK,NOK,S,S,S,S
SIN,OK,NOK,S,S,S,S
SOUNDEX,OK,NOK,S,S,S,S
SOUNDS LIKE,OK,NOK,S,S,S,S
SPACE,OK,NOK,S,S,S,S
SQRT,OK,NOK,S,S,S,S
STD,OK,NOK,S,S,S,S
STDDEV,OK,NOK,S,S,S,S
STDDEV_POP,OK,NOK,S,S,S,S
STDDEV_SAMP,OK,NOK,S,S,S,S
STR_TO_DATE,OK,NOK,S,S,S,S
STRCMP,OK,NOK,S,S,S,S
SUBDATE,OK,NOK,S,S,S,S
SUBSTR,OK,NOK,S,S,S,S
SUBSTRING,OK,NOK,S,S,S,S
SUBSTRING_INDEX,OK,NOK,S,S,S,S
SUBTIME,OK,NOK,S,S,S,S
SUM,OK,NOK,S,S,S,S
SYSDATE,OK,NOK,S,S,S,S
TAN,OK,NOK,S,S,S,S
TIME,OK,NOK,S,S,S,S
TIME_FORMAT,OK,NOK,S,S,S,S
TIME_TO_SEC,OK,NOK,S,S,S,S
TIMEDIFF,OK,NOK,S,S,S,S
TIMESTAMP,OK,NOK,S,S,S,S
TIMESTAMPADD,OK,NOK,S,S,S,S
TIMESTAMPDIFF,OK,NOK,S,S,S,S
TO_BASE64,OK,NOK,S,S,S,S
TO_CHAR,OK,NOK,S,S,S,S
TO_DATE,OK,NOK,S,S,S,S
TO_DAYS,OK,NOK,S,S,S,S
TO_NUMBER,OK,NOK,N,N,N,N
TO_SECONDS,OK,NOK,S,S,S,S
TRIM,OK,NOK,S,S,S,S
TRIM_ORACLE,OK,NOK,S,S,S,S
TRUNC,OK,NOK,S,S,S,S
TRUNCATE,OK,NOK,S,S,S,S
UCASE,OK,NOK,S,S,S,S
UNCOMPRESS,OK,NOK,S,S,S,S
UNCOMPRESSED_LENGTH,OK,NOK,S,S,S,S
UNHEX,OK,NOK,S,S,S,S
UNIX_TIMESTAMP,OK,NOK,S,S,S,S
UPDATEXML,OK,NOK,S,S,S,S
UPPER,OK,NOK,S,S,S,S
UTC_DATE,OK,NOK,S,S,S,S
UTC_TIME,OK,NOK,S,S,S,S
UTC_TIMESTAMP,OK,NOK,S,S,S,S
VAR_POP,OK,NOK,S,S,S,S
VAR_SAMP,OK,NOK,S,S,S,S
VARIANCE,OK,NOK,S,S,S,S
VEC_DISTANCE,OK,OK,N,N,N,N
VEC_DISTANCE_COSINE,OK,OK,N,N,N,N
VEC_DISTANCE_EUCLIDEAN,OK,OK,N,N,N,N
VEC_FROMTEXT,OK,OK,N,N,N,N
VEC_TOTEXT,OK,OK,N,N,N,N
VECTOR,OK,OK,N,N,N,N
WEEK,OK,NOK,S,S,S,S
WEEKDAY,OK,NOK,S,S,S,S
WEEKOFYEAR,OK,NOK,S,S,S,S
WEIGHT_STRING,OK,NOK,S,S,S,S
WSREP_LAST_SEEN_GTID,OK,NOK,S,S,S,S
WSREP_LAST_WRITTEN_GTID,OK,NOK,S,S,S,S
WSREP_SYNC_WAIT_UPTO_GTID,OK,NOK,S,S,S,S
YEAR,OK,NOK,S,S,S,S
YEARWEEK,OK,NOK,S,S,S,S
