Project,TargetFrameworks,RuntimeIdentifiers
src/DbSqlLikeMem.Oracle.EfCore/DbSqlLikeMem.Oracle.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.LinqToDb.Test/DbSqlLikeMem.Oracle.LinqToDb.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.LinqToDb/DbSqlLikeMem.Oracle.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.MsTest/DbSqlLikeMem.Oracle.MsTest.csproj,,
src/DbSqlLikeMem.Oracle.NHibernate.Test/DbSqlLikeMem.Oracle.NHibernate.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.NHibernate/DbSqlLikeMem.Oracle.NHibernate.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.Test/DbSqlLikeMem.Oracle.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Oracle.XUnit/DbSqlLikeMem.Oracle.XUnit.csproj,,
src/DbSqlLikeMem.Oracle/DbSqlLikeMem.Oracle.csproj,,
src/DbSqlLikeMem.OracleConsoleGenerator/DbSqlLikeMem.OracleConsoleGenerator.csproj,net8.0,
src/DbSqlLikeMem.SqlAzure.Test/DbSqlLikeMem.SqlAzure.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlAzure.XUnit/DbSqlLikeMem.SqlAzure.XUnit.csproj,,
src/DbSqlLikeMem.SqlAzure/DbSqlLikeMem.SqlAzure.csproj,,
src/DbSqlLikeMem.SqlServer.Dapper.Test/DbSqlLikeMem.SqlServer.Dapper.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.EfCore.Test/DbSqlLikeMem.SqlServer.EfCore.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.EfCore/DbSqlLikeMem.SqlServer.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.LinqToDb.Test/DbSqlLikeMem.SqlServer.LinqToDb.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.LinqToDb/DbSqlLikeMem.SqlServer.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.MsTest/DbSqlLikeMem.SqlServer.MsTest.csproj,,
src/DbSqlLikeMem.SqlServer.NHibernate.Test/DbSqlLikeMem.SqlServer.NHibernate.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.NHibernate/DbSqlLikeMem.SqlServer.NHibernate.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.Test/DbSqlLikeMem.SqlServer.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.SqlServer.XUnit/DbSqlLikeMem.SqlServer.XUnit.csproj,,
src/DbSqlLikeMem.SqlServer/DbSqlLikeMem.SqlServer.csproj,,
src/DbSqlLikeMem.SqlServerConsoleGenerator/DbSqlLikeMem.SqlServerConsoleGenerator.csproj,net8.0,
src/DbSqlLikeMem.Sqlite.Dapper.Test/DbSqlLikeMem.Sqlite.Dapper.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.EfCore.Test/DbSqlLikeMem.Sqlite.EfCore.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.EfCore/DbSqlLikeMem.Sqlite.EfCore.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.LinqToDb.Test/DbSqlLikeMem.Sqlite.LinqToDb.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.LinqToDb/DbSqlLikeMem.Sqlite.LinqToDb.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.MsTest/DbSqlLikeMem.Sqlite.MsTest.csproj,,
src/DbSqlLikeMem.Sqlite.NHibernate.Test/DbSqlLikeMem.Sqlite.NHibernate.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.NHibernate/DbSqlLikeMem.Sqlite.NHibernate.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.Test/DbSqlLikeMem.Sqlite.Test.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.Sqlite.XUnit/DbSqlLikeMem.Sqlite.XUnit.csproj,,
src/DbSqlLikeMem.Sqlite/DbSqlLikeMem.Sqlite.csproj,,
src/DbSqlLikeMem.SqliteConsoleGenerator/DbSqlLikeMem.SqliteConsoleGenerator.csproj,net8.0,
src/DbSqlLikeMem.TestTools/DbSqlLikeMem.TestTools.csproj,net10.0;net48;net6.0;net8.0,
src/DbSqlLikeMem.VisualStudioExtension.Core.Test/DbSqlLikeMem.VisualStudioExtension.Core.Test.csproj,net8.0,
src/DbSqlLikeMem.VisualStudioExtension.Core/DbSqlLikeMem.VisualStudioExtension.Core.csproj,net8.0;netstandard2.0,
src/DbSqlLikeMem.VisualStudioExtension.XamlHarness/DbSqlLikeMem.VisualStudioExtension.XamlHarness.csproj,net472,
src/DbSqlLikeMem.VisualStudioExtension/DbSqlLikeMem.VisualStudioExtension.csproj,net472,
src/DbSqlLikeMem.XUnit/DbSqlLikeMem.XUnit.csproj,,
src/DbSqlLikeMem/DbSqlLikeMem.csproj,,
